"Data";"Instituto";"Dilma (PT)";"Aecio (PSDB)";"Marina (PSB)";"Br Nulo Nenhum";"NS NR";"Eduardo (PSB)";"Br Nulo Nenhum NS NR";"Entrevistas";"Numero Registro";"link"
2014-10-04;"Vox Populi";46;41;;8;5;;;2000;"BR-01016/2014";"http://noticias.r7.com/eleicoes-2014/vox-populi-mostra-dilma-na-lideranca-e-aecio-a-frente-de-marina-04102014"
2014-10-04;"Datafolha";47,2;41,8;;7,3;3,7;;;18116;"BR-01037/2014";"http://www1.folha.uol.com.br/poder/2014/10/1527282-dilma-tem-44-aecio-vai-a-26-e-marina-recua-para-24-dos-validos-diz-datafolha.shtml"
2014-10-03;"MDA";47,6;;37,9;11,1;3,4;;;2002;"BR-01032/2014";"http://oglobo.globo.com/brasil/pesquisa-cntmda-aecio-ultrapassa-marina-pela-primeira-vez-14139331"
2014-10-03;"MDA";;43;37,1;;;;19,9;2002;"BR-01032/2014";"http://oglobo.globo.com/brasil/pesquisa-cntmda-aecio-ultrapassa-marina-pela-primeira-vez-14139331"
2014-10-03;"MDA";46;40,8;;9,7;3,5;;;2002;"BR-01032/2014";"http://oglobo.globo.com/brasil/pesquisa-cntmda-aecio-ultrapassa-marina-pela-primeira-vez-14139331"
2014-10-03;"Sensus";45,8;36,9;;10,8;6,6;;;2000;"BR-00918/2014";"http://www.istoedinheiro.com.br/noticias/economia/20141003/pesquisa-istoe-sensus-mostra-empate-tecnico-entre-aecio-marina/195713.shtml"
2014-10-02;"Datafolha";48;;41;7;4;;;12022;"BR-00933/2014";"http://www1.folha.uol.com.br/poder/2014/10/1526229-aecio-empata-com-marina-e-dilma-lidera-com-40-mostra-datafolha.shtml"
2014-10-02;"Datafolha";48;41;;7,3;3,7;;;12022;"BR-00933/2014";"http://www1.folha.uol.com.br/poder/2014/10/1526229-aecio-empata-com-marina-e-dilma-lidera-com-40-mostra-datafolha.shtml"
2014-10-01;"Ibope";43;;36;12;8;;;3010;"BR-00942/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/dilma-tem-40-marina-24-e-aecio-19-aponta-pesquisa-ibope.html"
2014-10-01;"Ibope";;33;38;;;;29;3010;"BR-00942/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/dilma-tem-40-marina-24-e-aecio-19-aponta-pesquisa-ibope.html"
2014-10-01;"Ibope";46;33;;12;9;;;3010;"BR-00942/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/10/dilma-tem-40-marina-24-e-aecio-19-aponta-pesquisa-ibope.html"
2014-09-30;"Datafolha";49;;41;6,4;3,6;;;7520;"BR-00905/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/09/dilma-tem-40-marina-25-e-aecio-20-aponta-pesquisa-datafolha.html"
2014-09-30;"Datafolha";50;41;;6;3;;;7520;"BR-00905/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/09/dilma-tem-40-marina-25-e-aecio-20-aponta-pesquisa-datafolha.html"
2014-09-29;"Ibope";42;;38;12;8;;;3010;"BR-00909/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/09/dilma-tem-39-marina-25-e-aecio-19-aponta-pesquisa-ibope.html"
2014-09-29;"Ibope";;34;38;;;;28;3010;"BR-00909/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/09/dilma-tem-39-marina-25-e-aecio-19-aponta-pesquisa-ibope.html"
2014-09-29;"Ibope";45;35;;12;8;;;3010;"BR-00909/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/09/dilma-tem-39-marina-25-e-aecio-19-aponta-pesquisa-ibope.html"
2014-09-28;"Vox Populi";46;;39;9;6;;;2000;"BR-00888/2014";"http://noticias.r7.com/eleicoes-2014/vox-populi-indica-vantagem-menor-no-1-turno-mas-dilma-venceria-marina-no-2-29092014"
2014-09-28;"MDA";47,7;;38,7;10,9;2,7;;;2002;"BR-00892/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20SETEMBRO2014%20-%20R123%20-%20FINAL.pdf"
2014-09-28;"MDA";;36;41,1;;;;23;2002;"BR-00892/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20SETEMBRO2014%20-%20R123%20-%20FINAL.pdf"
2014-09-28;"Vox Populi";48;38;;9;5;;;2000;"BR-00888/2014";"http://noticias.r7.com/eleicoes-2014/vox-populi-indica-vantagem-menor-no-1-turno-mas-dilma-venceria-marina-no-2-29092014"
2014-09-28;"MDA";49,1;36,8;;11,5;2,6;;;2002;"BR-00892/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20SETEMBRO2014%20-%20R123%20-%20FINAL.pdf"
2014-09-25;"Sensus";40,5;;40,4;12;7,2;;;2000;"BR-00756/2014";"http://www.istoe.com.br/reportagens/384447_EMPATE+NA+RETA+FINAL?pathImagens=&path=&actualArea=internalPage"
2014-09-25;"Datafolha";47;;43;7;4;;;11474;"BR-00782/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/09/dilma-tem-40-marina-27-e-aecio-18-aponta-pesquisa-datafolha.html"
2014-09-25;"Sensus";43,4;38,2;;11,4;7;;;2000;"BR-00756/2014";"http://www.istoe.com.br/reportagens/384447_EMPATE+NA+RETA+FINAL?pathImagens=&path=&actualArea=internalPage"
2014-09-25;"Datafolha";50;39;;8;4;;;11474;"BR-00782/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/09/dilma-tem-40-marina-27-e-aecio-18-aponta-pesquisa-datafolha.html"
2014-09-24;"Vox Populi";42;;41;10;6;;;2000;"BR-00757/2014";"http://www.cartacapital.com.br/blogs/carta-nas-eleicoes/voxpopuli-cartacapital-dilma-abre-13-pontos-sobre-marina-8067.html"
2014-09-24;"Vox Populi";45;37;;11,6;6,4;;;2000;"BR-00757/2014";"http://www.cartacapital.com.br/blogs/carta-nas-eleicoes/voxpopuli-cartacapital-dilma-abre-13-pontos-sobre-marina-8067.html"
2014-09-22;"Ibope";41;;41;12;6;;;3010;"BR-00755/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/09/dilma-tem-38-marina-29-e-aecio-19-aponta-pesquisa-ibope.html"
2014-09-22;"Ibope";;31;44;;;;25;3010;"BR-00755/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/09/dilma-tem-38-marina-29-e-aecio-19-aponta-pesquisa-ibope.html"
2014-09-22;"Ibope";46;35;;13;7;;;3010;"BR-00755/2014";"http://g1.globo.com/politica/eleicoes/2014/noticia/2014/09/dilma-tem-38-marina-29-e-aecio-19-aponta-pesquisa-ibope.html"
2014-09-21;"Vox Populi";46;;39;9;6;;;2000;"BR-00733/2014";"http://www.cartacapital.com.br/politica/vox-populi-tv-record-dilma-pode-ganhar-no-1o-turno-2425.html"
2014-09-21;"MDA";42;;41;11,8;5,2;;;2002;"BR-00753/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20SETEMBRO2014%20-%20R122%20-%20FINAL.pdf"
2014-09-21;"MDA";;32,9;43,1;;;;24;2002;"BR-00753/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20SETEMBRO2014%20-%20R122%20-%20FINAL.pdf"
2014-09-21;"Vox Populi";49;34;;11;6;;;2000;"BR-00733/2014";"http://www.cartacapital.com.br/politica/vox-populi-tv-record-dilma-pode-ganhar-no-1o-turno-2425.html"
2014-09-21;"MDA";45,5;36,5;;13,4;4,6;;;2002;"BR-00753/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20SETEMBRO2014%20-%20R122%20-%20FINAL.pdf"
