"Data";"Instituto";"Dilma (PT)";"Aecio (PSDB)";"Marina (PSB)";"Br Nulo Nenhum";"NS NR";"Eduardo (PSB)";"Br Nulo Nenhum NS NR";"Entrevistas";"Numero Registro";"link"
2014-08-07;"Ibope";44;;;16;8;32;;2506;"BR-00308/2014";"http://eleicoes.uol.com.br/2014/noticias/2014/08/07/ibope-dilma-tem-38-aecio-23-e-campos-9-das-intencoes-de-voto.htm"
2014-07-21;"Ibope";41;33;;18;8;;;2002;"BR-00235/2014";"http://eleicoes.ibopeinteligencia.com/Documents/Nacional%20-%20Relat%C3%B3rios/JOB_0462-1_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelasa.pdf"
2014-07-21;"Ibope";41;;;20;10;29;;2002;"BR-00235/2014";"http://eleicoes.ibopeinteligencia.com/Documents/Nacional%20-%20Relat%C3%B3rios/JOB_0462-1_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelasa.pdf"
2014-07-16;"Datafolha";44;40;;10;5;;;5377;"BR-00219/2014";"http://media.folha.uol.com.br/datafolha/2014/07/18/intencao_de_voto_para_presidente.pdf"
2014-07-16;"Datafolha";45;;38;11,5;5,5;;;5377;"BR-00219/2014";"http://www1.folha.uol.com.br/poder/2014/08/1508270-marina-empata-com-dilma-na-corrida-presidencial-diz-datafolha.shtml"
2014-07-16;"Datafolha";45;;;11;6;38;;5377;"BR-00219/2014";"http://media.folha.uol.com.br/datafolha/2014/07/18/intencao_de_voto_para_presidente.pdf"
2014-07-15;"Sensus";36;36;;19;8;;;2000;"BR-00214/2014";"http://www.istoe.com.br/reportagens/373512_UM+ELEITOR+MAIS+MADURO"
2014-07-15;"Sensus";38;;;20;9;30,9;;2000;"BR-00214/2014";"http://www.istoe.com.br/reportagens/373512_UM+ELEITOR+MAIS+MADURO"
2014-07-02;"Datafolha";46;39;;10;5;;;2857;"BR-00194/2014";"http://media.folha.uol.com.br/datafolha/2014/07/03/intencao-de-voto-presidente-v2.pdf"
2014-07-02;"Datafolha";48;;35;11,5;5,5;;;2857;"BR-00194/2014";"http://www1.folha.uol.com.br/poder/2014/08/1508270-marina-empata-com-dilma-na-corrida-presidencial-diz-datafolha.shtml"
2014-07-02;"Datafolha";48;;;12;6;35;;2857;"BR-00194/2014";"http://media.folha.uol.com.br/datafolha/2014/07/03/intencao-de-voto-presidente-v2.pdf"
2014-06-15;"Ibope";43;30;;19;8;;;2002;"BR-00171/2014";"http://arquivos.portaldaindustria.com.br/app/conteudo_18/2014/06/19/6683/CNI_IBOPE_JUN2014_WEB-Ok.pdf"
2014-06-15;"Ibope";43;;;21;9;27;;2002;"BR-00171/2014";"http://arquivos.portaldaindustria.com.br/app/conteudo_18/2014/06/19/6683/CNI_IBOPE_JUN2014_WEB-Ok.pdf"
2014-06-07;"Ibope";42;33;;20;5;;;2002;"BR-00154/2014";"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_0949_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas%20%28divulga%C3%A7%C3%A3o%29.pdf"
2014-06-07;"Ibope";41;;;21;8;30;;2002;"BR-00154/2014";"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_0949_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas%20%28divulga%C3%A7%C3%A3o%29.pdf"
2014-06-05;"Datafolha";46;38;;11;5;;;4337;"BR-00144/2014 ";"http://media.folha.uol.com.br/datafolha/2014/06/06/intencao-de-voto-presidente-2014.pdf"
2014-06-05;"Datafolha";47;;32;14,2;6,8;;;4337;"BR-00144/2014 ";"http://www1.folha.uol.com.br/poder/2014/08/1508270-marina-empata-com-dilma-na-corrida-presidencial-diz-datafolha.shtml"
2014-06-05;"Datafolha";47;;;14;6;32;;4337;"BR-00144/2014 ";"http://media.folha.uol.com.br/datafolha/2014/06/06/intencao-de-voto-presidente-2014.pdf"
2014-06-04;"Sensus";37;32;;20;9;;;5000;"BR-00161/2014";"http://www.istoe.com.br/reportagens/368316_EM+QUEDA+APESAR+DO+ESFORCO"
2014-06-04;"Sensus";37,5;;;24;11;26,9;;5000;"BR-00161/2014";"http://www.istoe.com.br/reportagens/368316_EM+QUEDA+APESAR+DO+ESFORCO"
2014-05-19;"Ibope";43;24;;24;10;;;2002;"BR-00120/2014";"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_0747_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas%20%28completo%29.pdf"
2014-05-19;"Ibope";42;;;25;12;22;;2002;"BR-00120/2014";"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_0747_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas%20%28completo%29.pdf"
2014-05-08;"Datafolha";47;36;;12;6;;;2844;"BR-00104/2014";"http://media.folha.uol.com.br/datafolha/2014/05/09/site-intencao_de_voto_presidente_2014-versaofinal.pdf"
2014-05-08;"Datafolha";49;;32;12,8;6,2;;;2844;"BR-00104/2014";"http://www1.folha.uol.com.br/poder/2014/08/1508270-marina-empata-com-dilma-na-corrida-presidencial-diz-datafolha.shtml"
2014-05-08;"Datafolha";49;;;13;5;32;;2844;"BR-00104/2014";"http://media.folha.uol.com.br/datafolha/2014/05/09/site-intencao_de_voto_presidente_2014-versaofinal.pdf"
2014-04-25;"Sensus";38,6;31,9;;20;9;;;2000;"BR-00094/2014";"http://www.istoe.com.br/reportagens/360833_A+CAMINHO+DO+SEGUNDO+TURNO?pathImagens=&path=&actualArea=internalPage"
2014-04-25;"MDA";39;29,3;;22,8;8;;;2002;"BR-00086/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20ABRIL2014%20-%20R118%20-%20FINAL.pdf"
2014-04-25;"Sensus";39,1;;;25;10;24,8;;2000;"BR-00094/2014";"http://www.istoe.com.br/reportagens/360833_A+CAMINHO+DO+SEGUNDO+TURNO?pathImagens=&path=&actualArea=internalPage"
2014-04-25;"MDA";41,3;;;24,4;10,3;24;;2002;"BR-00086/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20ABRIL2014%20-%20R118%20-%20FINAL.pdf"
2014-04-14;"Ibope";43;22;;26;9;;;2002;"BR-00078/2014";"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_0553_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas.pdf"
2014-04-14;"Ibope";41;;25;24;10;;;2002;"BR-00078/2014";"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_0553_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas.pdf"
2014-04-14;"Ibope";44;;;28;12;17;;2002;"BR-00078/2014";"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_0553_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas.pdf"
2014-04-03;"Datafolha";50;31;;16;4;;;2637;"BR-00064/2014";"http://media.folha.uol.com.br/datafolha/2014/04/07/intencao-de-voto-presidente.pdf"
