"Data";"Instituto";"Lula (PT)";"Geraldo Alckmin (PSDB)";"José Serra (PSDB)";"Garotinho (PMDB)";"Aécio Neves (PSDB)";"FHCPSDB";"Heloísa Helena (PSOL)";"Germano Rigotto (PMDB)";"Pedro Simon (PMDB)";"Votos Nao-Validos";"link";"Entrevistas";"Local Registro";"Margem de Erro";"Numero Registro"
2006-03-30;"IBPS";52;48;;;;;;;;;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2099;"TSE";2,2;"3646/2006"
2006-04-07;"Datafolha";52;37;;;;;;;;11;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";3795;"TSE";2;"4196/2006"
2006-04-07;"Datafolha";54;;;32;;;;;;14;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";3795;"TSE";2;"4196/2006"
2006-05-21;"Sensus";52,6;;;;;;20,3;;;27,2;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2000;"TSE";3;"6770/2006"
2006-05-21;"Sensus";52,8;;;20,4;;;;;;27;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2000;"TSE";3;"6770/2006"
2006-05-21;"Sensus";48,8;31,3;;;;;;;;20;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2000;"TSE";3;"6770/2006"
2006-05-24;"Datafolha";52;35;;;;;;;;14;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";6000;"TSE";2;"6936/2006"
2006-05-24;"Datafolha";57;;;24;;;;;;19;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";6000;"TSE";2;"6936/2006"
2006-05-28;"Vox Populi";51;33;;;;;;;;16;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2001;"TSE";2,2;"7683/2006"
2006-05-28;"Vox Populi";58;;;;;;;;14;28;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2001;"TSE";2,2;"7683/2006"
2006-05-31;"Ibope";53;31;;;;;;;;16;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"7728/2006"
2006-06-07;"Ibope";53;29;;;;;;;;18;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"8308/2006"
