"Data";"Instituto";"José Serra (PSDB)";"Dilma Roussef (PT)";"Ciro Gomes (PSB)";"Aécio Neves (PSDB)";"Marina Silva (PV)";"Patrus Ananias (PT)";"Votos Nao-Validos";"link";"Contratante";"Entrevistas";"Local Registro";"Margem de Erro";"Numero Registro"
2010-06-03;"Ibope";42;42;;;;;16;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"TV Globo e O Estado de S. Paulo";2002;"TSE";2;"13642/2010"
2010-06-21;"Ibope";49;;;;22;;29;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNI (Confederação Nacional da Indústria)";2002;"TSE";2;"16292/2010"
2010-06-21;"Ibope";;53;;;19;;28;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNI (Confederação Nacional da Indústria)";2002;"TSE";2;"16292/2010"
2010-06-21;"Ibope";38;45;;;;;17;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNI (Confederação Nacional da Indústria)";2002;"TSE";2;"16292/2010"
2010-06-26;"Vox Populi";40;44;;;;;16;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Rádio e Televisão Bandeirantes Ltda";3000;"TSE";1,8;"16944/2010"
2010-06-30;"Ibope";42;42;;;;;16;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Associação Comercial de São Paulo (Diário do Comércio)";2002;"TSE";2;"17245/2010"
2010-07-01;"Datafolha";47;45;;;;;9;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2658;"TSE";2;"17162/2010"
2010-07-23;"Datafolha";45;46;;;;;10;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S. Paulo e Rede Globo";10905;"TSE";2;"19890/2010"
2010-07-29;"Ibope";40;46;;;;;14;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Estado de S.Paulo e Rede Globo";2506;"TSE";2;"20809/2010"
2010-08-02;"Sensus";;55,7;;;23,3;;21,1;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT (Confederação Nacional dos Transportes)";2000;"TSE";2,2;"21411/2010"
2010-08-02;"Sensus";50;;;;27,8;;22,3;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT (Confederação Nacional dos Transportes)";2000;"TSE";2,2;"21411/2010"
2010-08-02;"Sensus";36,6;48,3;;;;;15,3;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT (Confederação Nacional dos Transportes)";2000;"TSE";2,2;"21411/2010"
2010-08-12;"Datafolha";41;49;;;;;10;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S. Paulo e Rede Globo";10770;"TSE";2;"22734/2010"
2010-08-15;"Ibope";37;48;;;;;15;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Estado de S.Paulo e Rede Globo";2506;"TSE";2;"23548/2010"
2010-08-20;"Datafolha";39;53;;;;;8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";2727;"TSE";2;"24460/2010"
2010-08-22;"Sensus";34;52,9;;;;;13,2;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT (Confederação Nacional dos Transportes)";2000;"TSE";2,2;"24903/2010"
2010-08-24;"Datafolha";36;55;;;;;8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S. Paulo e Rede Globo";10948;"TSE";2;"25473/2010"
2010-08-26;"Ibope";32;56;;;;;13;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Estado de S.Paulo e Rede Globo";2506;"TSE";2;"26139/2010"
2010-09-02;"Ibope";33;55;;;;;11;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Rede Globo";3010;"TSE";2;"27597/2010"
2010-09-03;"Datafolha";36;56;;;;;9;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";4314;"TSE";2;"27903/2010"
2010-09-09;"Datafolha";35;56;;;;;9;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S. Paulo e Rede Globo";11660;"TSE";2;"28809/2010"
2010-09-12;"Sensus";32,9;55,5;;;;;11,6;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT (Confederação Nacional dos Transportes)";2000;"TSE";2,2;"29517/2010"
2010-09-15;"Datafolha";35;57;;;;;9;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S. Paulo e Rede Globo";11784;"TSE";2;"30014/2010"
2010-09-22;"Datafolha";38;55;;;;;7;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S. Paulo e Rede Globo";12294;"TSE";2;"31330/2010"
2010-09-23;"Ibope";32;54;;;;;14;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Estado de S.Paulo e Rede Globo";3010;"TSE";2;"31689/2010"
2010-09-27;"Datafolha";39;52;;;;;8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S.Paulo";3220;"TSE";2;"32913/2010"
2010-09-28;"Sensus";34,5;53,9;;;;;11,6;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"CNT (Confederação Nacional dos Transportes)";2000;"TSE";2,2;"33103/2010"
2010-09-29;"Datafolha";39;53;;;;;8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S. Paulo e Rede Globo";13195;"TSE";2;"33119/2010"
2010-10-02;"Datafolha";;52;;;40;;8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S. Paulo e Rede Globo";20960;"TSE";2;"33480/2010"
2010-10-02;"Datafolha";40;52;;;;;8;"http://noticias.uol.com.br/fernandorodrigues/pesquisas/2010/2turno/presidente.jhtm";"Folha de S. Paulo e Rede Globo";20960;"TSE";2;"33480/2010"
